,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632525128,13,4,18,13,15,1,
632525129,22,8,13,14,7,2,
632525130,19,13,22,11,11,1,
632525131,25,12,9,15,9,5,
632525132,10,12,12,16,8,1,
632525133,19,4,8,16,18,3,
632525134,16,8,13,6,12,7,
632525135,14,4,13,16,10,3,
632525136,13,15,12,18,15,2,
632525137,14,19,11,17,14,3,
632525138,16,11,13,12,9,6,
632525139,16,6,16,12,19,2,
632525140,12,10,8,22,17,
632525141,15,10,11,11,13,
632525142,9,5,11,14,5,5,
632525143,20,8,18,16,8,
632525144,15,7,18,4,15,4,
632525145,10,4,15,19,6,1,
632525146,21,9,15,8,7,4,
632525147,15,9,15,18,11,2,
632525148,9,16,16,15,13,3,
632525149,12,7,19,16,5,10,
632525150,11,6,18,12,10,
632525151,8,12,15,15,13,4,
632525152,17,7,13,8,11,4,
632525153,23,5,15,6,19,2,
632525154,16,9,15,20,14,2,
632525155,17,15,11,23,11,5,
632525156,16,16,22,16,16,5,
632525157,13,12,11,18,13,1,
632525158,22,5,14,15,16,5,
632525159,15,8,18,11,14,2,
632525160,19,8,14,21,15,4,
632525161,10,3,18,14,10,1,
632525162,19,4,26,22,11,3,
632525163,18,15,5,13,11,
632525164,13,5,16,18,11,4,
632525165,18,7,18,13,11,2,
632525166,22,16,15,10,15,4,
632525167,16,12,13,11,19,1,
632525168,15,4,21,11,16,4,
632525169,13,3,14,9,12,4,
632525170,13,9,19,18,11,5,
632525171,10,11,17,16,20,5,
632525172,16,8,13,20,20,6,
632525173,19,4,21,16,10,6,
632525174,14,11,18,17,15,2,
632525175,14,9,18,11,10,5,
632525176,8,8,17,17,8,3,
632525177,20,6,16,15,6,4,
632525178,20,3,22,19,13,4,
632525179,19,1,12,9,9,2,
632525180,11,6,13,18,15,1,
632525181,17,6,17,13,12,5,
632525182,12,8,7,12,9,3,
632525183,14,5,14,17,7,1,
632525184,11,7,16,9,13,5,
632525185,16,7,21,19,15,
632525186,8,7,13,14,20,1,
632525187,22,6,16,12,6,3,
632525188,19,6,13,18,8,3,
632525189,20,9,19,9,11,2,
632525190,18,15,17,9,12,4,
632525191,15,10,20,13,13,1,
632525192,20,7,20,7,8,2,
632525193,11,9,8,15,12,4,
632525194,17,7,16,11,11,3,
632525195,19,5,19,9,9,3,
632525196,11,8,10,19,13,2,
632525197,12,6,14,12,19,5,
632525198,21,10,22,16,14,5,
632525199,20,11,11,18,14,4,
632525200,17,15,19,13,9,3,
632525201,11,8,19,13,11,3,
632525202,18,8,6,17,13,5,
632525203,23,9,15,11,13,4,
632525204,15,9,6,11,11,4,
632525205,17,9,11,8,10,
632525206,12,11,13,11,19,3,
632525207,13,8,11,20,10,4,
632525208,15,6,12,18,13,1,
632525209,16,9,17,21,16,3,
632525210,9,12,12,8,10,5,
632525211,24,5,21,12,22,2,
632525212,10,9,19,13,8,4,
632525213,11,12,16,22,13,9,
632525214,16,6,19,13,15,1,
632525215,9,7,9,15,16,5,
632525216,20,16,23,8,15,2,
632525217,19,7,17,20,10,5,
632525218,19,12,19,12,11,
632525219,17,10,16,16,17,3,
632525220,13,5,13,10,16,1,
632525221,20,8,14,13,8,2,
632525222,17,4,15,13,6,2,
632525223,19,10,16,9,14,7,
632525224,17,10,14,15,19,1,
632525225,26,6,13,11,13,3,
632525226,19,10,16,12,18,3,
632525227,23,8,17,14,20,4,
632525228,18,8,19,13,12,6,
632525229,19,7,19,9,17,1,
632525230,16,3,17,13,14,1,
632525231,13,9,17,15,7,2,
632525232,19,15,15,8,14,2,
632525233,13,5,11,19,9,6,
632525234,17,10,13,13,14,3,
632525235,16,7,21,14,25,7,
632525236,16,2,8,8,11,7,
632525237,7,11,14,19,11,4,
632525238,9,6,29,13,12,5,
632525239,16,14,18,8,15,3,
632525240,13,12,13,5,14,4,
632525241,15,5,13,7,15,4,
632525242,14,7,18,13,13,6,
632525243,15,12,20,8,15,4,
632525244,13,2,17,12,12,3,
632525245,11,11,16,19,15,1,
632525246,13,7,17,11,6,3,
632525247,11,7,14,12,10,1,
632525248,12,7,16,11,12,2,
632525249,18,6,12,14,11,2,
632525250,9,9,18,19,5,2,
632525251,14,7,10,11,14,3,
632525252,11,8,9,19,10,3,
632525253,16,8,10,17,7,5,
632525254,21,5,16,7,17,
632525255,20,12,12,9,13,3,
632525256,18,7,28,15,12,2,
632525257,25,7,11,12,10,4,
632525258,15,9,15,21,11,
632525259,15,5,10,14,12,2,
632525260,12,7,13,16,19,4,
632525261,18,12,9,13,13,1,
632525262,21,11,11,13,16,3,
632525263,23,9,12,19,14,1,
632525264,15,12,11,16,13,3,
632525265,19,5,11,11,15,6,
632525266,19,10,20,7,21,2,
632525267,11,7,18,15,19,4,
632525268,22,7,21,14,11,3,
632525269,13,7,13,15,9,3,
632525270,18,12,15,16,10,5,
632525271,16,6,13,10,11,2,
632525272,13,11,16,18,10,4,
632525273,24,10,16,13,11,1,
632525274,16,8,17,13,19,2,
632525275,16,7,17,12,9,2,
632525276,12,3,13,11,15,4,
632525277,19,10,17,8,17,1,
632525278,12,11,16,14,23,2,
632525279,19,7,14,10,12,4,
632525280,25,6,8,14,17,1,
632525281,22,9,14,16,15,4,
632525282,18,8,13,8,10,4,
632525283,13,14,15,16,17,5,
632525284,24,11,17,13,12,8,
632525285,12,6,14,18,15,5,
632525286,19,10,10,18,18,2,
632525287,10,13,12,12,11,3,
632525288,14,10,13,10,17,2,
632525289,25,9,13,13,18,2,
632525290,14,11,14,19,13,4,
632525291,22,2,10,9,13,1,
632525292,14,6,28,7,8,2,
632525293,13,20,12,13,14,2,
632525294,16,16,13,11,17,1,
632525295,14,11,10,12,15,6,
632525296,16,6,15,13,13,1,
632525297,15,6,13,12,16,4,
632525298,16,1,18,13,22,3,
632525299,22,12,17,13,9,2,
632525300,17,8,16,14,14,1,
632525301,15,4,17,15,12,2,
632525302,20,6,19,7,17,2,
632525303,15,6,15,15,10,1,
632525304,15,11,5,20,8,3,
632525305,12,4,14,12,18,4,
632525306,13,11,10,16,13,3,
632525307,16,7,18,11,16,4,
632525308,18,8,10,14,11,1,
632525309,9,7,18,6,18,1,
632525310,21,7,14,19,11,6,
632525311,19,12,9,13,11,8,
632525312,18,10,15,11,18,2,
632525313,28,7,10,11,9,2,
632525314,20,7,12,11,13,1,
632525315,20,12,13,10,8,2,
632525316,9,14,16,12,10,2,
632525317,16,8,17,24,20,2,
632525318,20,10,13,13,12,6,
632525319,27,7,20,12,15,1,
632525320,14,10,19,15,12,4,
632525321,21,5,19,16,12,
632525322,15,5,12,8,7,4,
632525323,21,11,15,10,10,2,
