,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632815305,
632815306,0,1,
632815307,
632815308,0,1,
632815309,
632815310,
632815311,
632815312,
632815313,0,1,1,
632815314,0,0,1,
632815315,
632815316,0,0,1,
632815317,
632815318,0,1,
632815319,0,1,
632815320,
632815321,2,
632815322,
632815323,
632815324,1,
632815325,
632815326,
632815327,
632815328,0,1,
632815329,
632815330,
632815331,
632815332,
632815333,
632815334,
632815335,
632815336,0,1,
632815337,
632815338,0,1,
632815339,
632815340,0,1,
632815341,
632815342,
632815343,
632815344,
632815345,
632815346,0,1,
632815347,
632815348,
632815349,
632815350,0,1,
632815351,
632815352,0,1,
632815353,
632815354,0,1,
632815355,0,1,
632815356,
632815357,
632815358,
632815359,
632815360,
632815361,
632815362,
632815363,
632815364,0,1,
632815365,
632815366,
632815367,
632815368,
632815369,0,1,
632815370,
632815371,
632815372,
632815373,
632815374,
632815375,
632815376,
632815377,
632815378,
632815379,
632815380,0,0,1,
632815381,
632815382,
632815383,
632815384,
632815385,
632815386,0,1,
632815387,
632815388,0,1,
632815389,0,1,
632815390,0,2,
632815391,
632815392,
632815393,
632815394,
632815395,
632815396,0,1,
632815397,
632815398,
632815399,
632815400,
632815401,
632815402,
632815403,
632815404,
632815405,
632815406,
632815407,
632815408,
632815409,
632815410,0,1,
632815411,0,1,
632815412,
632815413,
632815414,
632815415,
632815416,
632815417,1,
632815418,
632815419,
632815420,
632815421,0,0,1,
632815422,
632815423,
632815424,0,1,
632815425,
632815426,
632815427,
632815428,1,
632815429,0,1,
632815430,
632815431,1,
632815432,
632815433,
632815434,
632815435,
632815436,
632815437,
632815438,
632815439,
632815440,
632815441,2,
632815442,
632815443,
632815444,
632815445,
632815446,0,2,
632815447,
632815448,
632815449,0,1,
632815450,0,0,1,
632815451,
632815452,1,
632815453,
632815454,0,1,
632815455,
632815456,
632815457,0,1,
632815458,
632815459,
632815460,
632815461,0,2,
632815462,0,1,
632815463,1,
632815464,
632815465,0,1,
632815466,0,1,1,
632815467,
632815468,
632815469,
632815470,0,1,
632815471,0,1,
632815472,0,1,
632815473,
632815474,
632815475,
632815476,
632815477,
632815478,
632815479,
632815480,
632815481,0,2,
632815482,0,2,
632815483,
632815484,1,
632815485,
632815486,
632815487,
632815488,
632815489,1,
632815490,
632815491,
632815492,
632815493,
632815494,
632815495,
632815496,
632815497,
632815498,
632815499,
632815500,0,1,
632815501,2,
632815502,0,1,
632815503,
632815504,
632815505,
632815506,
632815507,
632815508,
632815509,
632815510,
632815511,
632815512,
632815513,0,1,
632816002,
632816003,
632816004,0,1,
632816005,0,1,
632816007,
632816008,
632816009,
632816010,
632816011,
632816012,
632816013,
632816014,0,1,
632816015,1,
632816017,
632816018,0,0,1,
632816019,0,0,1,
632816020,
632816021,
632816022,1,
632816023,0,1,
632816024,
632816025,
632816027,
632816028,
632816029,
632816030,
632816031,
632816032,0,2,
632816033,
632816034,0,1,
632816035,
632816037,
632816038,0,2,
632816039,0,1,
632816040,
632816041,
632816042,
632816043,
632816044,
632816045,
632816047,
632816048,
632816049,
632816050,
632816051,0,1,
632816052,
632816053,1,
632816054,
