,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632523195,3,0,0,0,0,1,4,3,1,6,3,7,
632523196,4,0,0,0,0,2,2,6,2,3,6,5,5,
632523197,0,0,0,0,0,6,2,1,5,1,5,7,4,
632523198,4,0,0,0,0,3,4,7,5,8,4,3,4,
632523199,2,0,0,0,0,0,2,4,7,11,4,5,9,
632523200,2,1,0,0,0,2,8,3,3,3,2,9,10,
632523201,2,0,0,0,0,0,3,4,2,1,1,2,3,
632523202,0,1,0,0,0,2,4,6,3,7,7,6,7,1,
632523203,3,0,0,0,0,2,6,2,3,7,3,5,6,
632523204,2,0,0,0,2,1,5,1,3,3,6,6,9,
632523205,1,0,0,0,0,2,3,1,4,4,4,3,5,1,
632523206,0,0,0,0,0,3,3,5,1,3,1,10,1,
632523207,0,0,0,0,0,5,5,3,4,4,6,3,8,
632523208,4,0,0,0,0,3,3,1,4,2,10,5,2,
632523209,1,0,0,0,0,2,4,14,2,1,4,3,6,
632523210,3,0,0,0,0,0,5,4,10,5,9,5,3,
632523211,1,0,0,0,2,6,1,2,3,3,3,6,5,
632523212,0,0,0,0,0,4,6,3,4,3,3,4,3,
632523213,0,0,0,0,1,1,3,6,2,6,2,6,2,
632523214,1,0,0,0,0,1,3,2,8,10,3,6,2,
632523215,1,0,0,0,0,6,2,3,6,8,3,10,2,
632523216,7,0,0,0,0,1,6,0,4,5,3,8,1,
632523217,3,0,0,0,0,0,5,4,12,2,6,5,2,
632523218,2,1,0,0,0,0,0,1,7,4,1,5,4,
632523219,2,0,0,0,0,2,3,4,10,8,1,7,4,
632523220,1,0,0,0,0,3,4,2,1,4,5,9,8,
632523221,7,0,0,0,1,1,2,4,4,7,8,4,4,
632523222,1,0,0,0,0,6,2,6,3,8,2,7,
632523223,0,0,0,0,0,3,6,5,7,3,3,8,2,
632523224,5,0,0,0,0,1,3,5,2,4,4,5,3,
632523225,4,0,0,0,0,1,6,2,10,2,4,4,1,
632523226,2,0,0,0,0,2,5,5,5,7,2,4,8,
632523227,3,0,0,0,0,4,4,1,3,5,4,5,6,
632523228,2,0,0,0,1,3,7,7,4,2,3,2,1,
632523229,8,0,0,0,0,1,7,1,1,7,5,4,9,
632523230,0,0,0,0,0,3,8,2,5,6,3,9,2,
632523231,4,0,0,0,0,2,5,4,1,4,2,3,1,
632523232,1,1,0,0,6,3,1,3,3,3,4,10,1,
632523233,1,0,0,0,0,6,0,2,3,3,2,5,1,
632523234,5,0,0,0,0,1,8,3,12,4,5,5,1,
632523235,4,0,0,0,1,2,7,1,3,2,7,5,5,
632523236,1,0,0,0,0,2,4,1,6,3,3,7,3,
632523237,3,0,0,0,0,4,5,2,7,5,6,4,3,
632523238,2,0,0,0,0,5,3,8,4,3,4,2,2,
632523239,1,0,0,0,0,2,1,7,5,5,9,3,
632523240,3,0,0,0,2,6,5,0,7,2,3,6,1,
632523241,2,0,0,0,2,3,0,1,2,4,3,6,5,
632523242,5,1,0,0,0,2,2,5,2,4,2,6,6,
632523243,4,0,0,0,3,2,1,1,10,5,3,8,1,
632523244,3,1,0,0,1,2,1,7,5,2,6,5,2,
632523245,3,1,0,0,1,3,1,2,8,4,5,7,1,
632523246,6,0,0,0,0,3,8,0,7,2,7,12,1,
632523247,3,0,0,0,0,8,6,4,2,4,3,5,8,
632523248,5,0,0,0,0,9,6,2,5,5,5,1,4,1,
632523249,2,0,0,0,0,5,2,3,2,8,4,3,11,
632523250,1,0,0,0,1,2,4,4,5,6,3,3,1,
632523251,2,0,0,0,0,2,3,3,3,6,5,2,1,
632523252,6,0,0,0,0,6,3,1,5,1,4,5,3,
632523253,0,0,0,0,0,3,4,2,1,4,1,9,3,
632523254,0,0,0,0,1,4,2,3,5,1,1,9,2,
632523255,5,0,0,0,0,1,5,3,6,6,6,6,1,
632523256,0,1,0,0,0,0,3,1,5,2,5,4,6,
