,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632523243,3,5,6,12,2,5,3,
632523244,4,6,5,4,17,5,6,
632523245,2,8,2,10,2,7,2,
632523246,5,7,8,4,3,6,2,1,
632523247,4,12,3,10,4,10,2,
632523248,2,8,7,8,7,12,2,1,
632523249,6,5,11,8,9,12,3,
632523250,7,11,5,4,4,16,2,
632523251,4,12,3,5,14,1,3,1,
632523252,4,4,3,8,11,6,
632523253,7,9,6,7,7,9,1,
632523254,6,9,5,3,4,6,4,
632523255,2,6,5,5,13,2,5,
632523256,4,4,2,6,5,15,3,
632523257,8,3,7,11,8,8,3,
632523258,4,13,2,0,9,13,5,
632523259,5,8,6,4,9,7,3,
632523260,8,8,3,7,5,11,1,
632523261,4,9,10,10,3,8,3,
632523262,5,9,7,4,11,1,
632523263,7,11,4,7,9,8,2,
632523264,9,12,2,10,7,4,
632523265,9,3,2,8,4,7,4,
632523266,3,13,3,2,2,3,1,
632523267,5,4,3,15,12,1,
632523268,4,11,6,2,6,5,2,
632523269,5,5,2,9,7,1,4,
632523270,6,7,5,0,7,11,1,
632523271,5,14,5,3,8,8,4,
632523272,8,15,7,6,10,10,
632523273,0,9,3,2,8,1,6,
632523274,2,6,5,7,6,7,3,1,
632523275,2,13,8,10,6,10,2,
632523276,8,10,6,9,5,4,
632523277,3,8,7,6,7,4,4,
632523278,4,13,2,7,6,5,1,
632523279,7,9,3,4,11,5,
632523280,5,11,2,11,3,6,1,
632523281,7,7,7,6,5,4,1,
632523282,9,7,8,4,7,9,3,
632523283,6,8,4,9,4,5,
632523284,5,9,8,9,10,4,2,
632523285,4,10,3,5,8,3,0,1,
632523286,7,9,5,11,5,8,3,
632523287,3,2,6,9,7,6,1,
632523288,7,4,8,5,13,8,6,
632523289,5,9,3,7,9,3,3,
632523290,3,2,6,4,16,7,2,
632523291,3,9,4,4,5,3,4,
632523292,7,11,9,6,6,9,2,
632523293,8,9,9,7,5,14,2,
632523294,6,5,8,10,4,5,1,
632523295,5,6,2,9,7,5,4,
632523296,7,10,0,7,11,2,2,
632523297,3,7,4,1,5,4,2,
632523298,4,9,4,5,7,9,7,
632523299,6,10,4,6,1,9,2,
632523300,5,9,4,11,7,5,4,
632523301,5,10,3,6,7,11,1,
632523302,2,9,8,7,9,6,
632523303,5,8,9,4,8,3,2,
632523304,5,7,8,7,8,10,4,
632523305,5,8,7,6,15,3,1,
632523306,7,7,2,7,8,8,2,
632523307,4,8,1,11,11,8,1,
632523308,11,5,3,9,13,11,1,
632523309,6,12,5,9,5,3,4,
632523310,6,7,2,5,4,12,2,1,
632523311,5,6,1,2,8,9,3,
632523312,6,7,5,5,11,5,4,
632523313,6,9,4,4,16,8,1,
632523314,4,4,9,5,7,9,3,
632523315,9,7,5,6,8,5,2,
632523316,4,7,8,4,10,9,4,
632523317,6,6,4,14,10,1,3,
632523318,9,11,4,4,5,10,4,
632523319,5,7,7,5,8,10,3,
632523320,3,8,11,5,6,7,2,
632523321,7,4,3,5,4,7,4,
632523322,6,3,3,8,8,12,1,
632523323,7,4,9,2,4,6,
632523324,7,13,1,5,7,5,
632523325,5,5,5,8,7,4,1,
632523326,6,9,3,4,5,6,4,
632523327,7,8,6,4,7,5,2,
632523328,0,11,3,7,7,7,5,
632523329,5,4,6,6,13,5,
632523330,6,5,6,13,5,5,
632523331,8,13,2,2,6,12,
632523332,8,13,7,6,6,12,1,
632523333,6,12,7,6,8,4,1,
632523334,5,7,4,7,12,9,5,
632523335,4,5,7,6,9,4,2,
632523336,6,4,2,9,4,3,2,
632523337,12,7,7,8,8,9,
632523338,6,14,4,9,13,6,4,
632523339,2,5,2,10,7,4,3,
632523340,2,14,3,6,17,4,
632523501,5,6,8,8,6,7,3,
632523502,7,5,6,9,7,10,5,
632523503,5,6,9,8,7,7,1,
632523504,5,6,5,4,8,10,
632523505,3,6,1,2,9,5,7,
632523506,7,7,6,2,5,1,2,
632523507,9,9,7,5,8,10,
632523508,6,7,2,6,11,2,2,
632523509,5,11,4,3,8,7,3,
632523510,4,11,2,6,5,7,4,
632523511,5,3,6,8,2,6,2,
632523512,5,9,7,4,2,6,3,
632523513,2,7,6,2,6,3,3,
632523514,6,5,4,2,6,7,2,
632523515,6,7,3,5,9,15,
632523516,7,9,5,1,7,12,1,
632523517,14,4,3,2,12,7,1,
632523518,4,9,11,13,8,4,2,
632523519,5,4,7,6,10,14,4,
632523520,6,9,4,5,8,9,1,
632523521,9,5,5,11,3,7,3,
632523522,6,4,2,6,6,6,2,
632523523,6,7,6,6,6,10,4,
632523524,3,8,2,9,5,13,
632523525,2,10,3,10,8,2,
632523526,6,5,3,4,5,5,1,
632523527,6,6,10,5,8,4,1,
