,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
632525060,0,8,29,9,
632525061,2,20,37,7,
632525062,0,13,46,8,
632525063,0,14,44,5,
632525064,0,12,41,7,
632525065,0,17,46,6,
632525066,0,18,43,6,
632525067,0,10,56,5,
632525068,0,17,50,4,
632525069,1,13,46,5,
632525070,0,13,42,10,
632525071,0,9,46,6,
632525072,0,19,57,3,
632525073,0,14,34,4,
632525074,0,15,43,3,
632525075,0,20,41,3,
632525076,0,8,44,11,
632525077,0,19,41,9,
632525078,3,18,38,6,
632525079,0,14,37,5,
632525080,0,12,38,9,
632525081,0,12,37,11,
632525082,0,21,33,10,
632525083,0,22,30,9,
632525084,0,21,41,13,
632525085,0,18,39,9,
632525086,0,10,36,10,
632525087,0,14,39,8,
632525088,0,12,29,10,
632525089,3,27,40,5,
632525090,1,8,34,7,
632525091,0,17,27,8,
632525092,1,14,33,1,
632525093,3,13,32,6,
632525094,1,7,39,3,
632525095,3,12,39,5,
632525096,0,10,35,5,
632525097,0,18,24,3,
632525098,5,16,33,5,
632525099,1,14,32,5,
632525100,6,13,25,6,
632525101,4,10,41,2,
632525102,1,22,33,4,
632525103,2,19,31,7,
632525104,3,11,32,
632525105,0,21,31,8,
632525106,0,19,27,3,
632525107,4,4,39,7,
632525108,5,16,26,4,
632525109,2,19,47,5,
632525110,1,11,39,7,
632525111,3,16,26,7,
632525112,1,20,31,6,
632525113,2,21,33,4,
632525114,2,13,31,6,
632525115,1,12,37,2,
632525116,3,21,32,7,
632525117,2,14,31,4,
632525118,2,21,27,4,
632525119,3,25,37,7,
632525120,1,21,29,6,
632525121,2,16,24,5,
632525122,0,29,32,6,
632525123,3,16,27,6,
632525124,6,22,35,4,
632525125,2,15,32,6,
632525126,4,11,38,4,
632525127,0,15,34,3,
632525128,4,14,21,2,
632525129,2,16,27,1,
632525130,1,23,28,3,
632525131,3,14,26,5,
632525132,1,25,24,6,
632525133,0,10,32,9,
632525134,0,9,38,6,
632525135,0,16,42,7,
632525136,0,13,40,8,
632525137,4,13,30,7,
632525138,0,21,42,7,
632525139,0,18,29,6,
632525140,0,16,32,13,
632525141,0,19,36,1,
632525142,1,13,28,6,
632525143,4,17,27,9,
632525144,0,20,29,5,
632525145,1,12,38,9,
632525146,0,23,39,11,
632525147,0,19,33,12,
632525148,0,12,34,12,
632525149,0,11,45,9,
632525150,0,15,37,7,
632525151,0,16,41,10,
632525152,0,17,41,3,
632525153,1,15,45,2,
632525154,0,15,38,12,
632525155,0,25,28,10,
632525156,0,12,51,5,
632525157,0,18,43,7,
632525158,3,12,43,5,
632525159,0,16,41,5,
632525160,0,17,38,14,
632525161,0,25,43,6,
632525162,0,12,33,8,
632525163,0,13,37,6,
632525164,0,14,33,11,
632525165,1,10,39,12,
632525166,0,13,38,7,
632525167,0,18,37,9,
632525168,1,12,27,14,
632525169,0,19,54,5,
632525170,0,13,38,7,
632525171,2,7,41,9,
632525172,0,17,30,2,
632525173,0,15,30,9,
632525174,0,20,43,2,
632525175,0,20,42,7,
632525176,2,12,39,11,
632525177,2,17,32,4,
632525178,3,18,29,14,
632525179,4,14,31,3,
632525180,3,14,40,9,
632525181,2,11,36,5,
632525182,2,12,34,3,
632525183,0,17,36,5,
632525184,1,14,43,6,
632525185,1,29,24,4,
632525186,8,8,29,9,
632525187,0,11,32,2,
632525188,1,13,23,3,
632525189,2,17,22,1,
632525190,1,12,26,4,
632525191,1,10,27,5,
632525192,1,23,22,7,
632525193,5,6,36,4,
632525194,2,15,37,3,
632525195,6,22,27,2,
632525196,2,15,41,6,
632525197,4,9,30,5,
632525198,0,11,35,4,
632525199,5,12,22,3,
632525200,1,14,26,3,
632525201,3,17,32,3,
632525202,1,18,37,8,
632525203,8,16,27,5,
632525204,0,14,31,7,
632525205,2,17,31,4,
632525206,3,18,34,2,
632525207,3,8,33,9,
632525208,7,6,39,4,
632525209,0,10,29,8,
632525210,0,31,35,6,
632525211,2,26,27,2,
632525212,1,21,24,5,
632525213,2,12,33,6,
632525214,1,15,35,7,
632525215,2,16,25,4,
632525216,4,6,25,3,
632525217,5,20,26,2,
632525218,3,17,35,5,
632525219,5,15,35,7,
632525220,1,25,28,1,
632525221,4,11,44,12,
632525222,0,8,36,12,
632525223,1,20,63,6,
632525224,0,11,47,7,
632525225,0,11,34,9,
632525226,0,15,55,3,
632525227,1,12,46,9,
632525228,0,8,51,6,
632525229,0,15,37,6,
632525230,0,13,45,5,
632525231,1,16,15,8,
632525232,0,13,35,7,
632525233,0,16,38,14,
632525234,1,13,36,12,
632525235,1,18,27,12,
632525236,1,14,38,4,
632525237,0,18,29,3,
632525238,0,14,37,5,
632525239,0,24,32,3,
632525240,0,12,37,7,
632525241,0,14,32,14,
632525242,0,14,24,3,
632525243,0,19,35,6,
632525244,0,10,47,5,
632525245,0,17,40,8,
632525246,0,21,23,6,
632525247,2,13,40,3,
632525248,0,21,28,7,
632525249,0,21,41,3,
632525250,0,14,39,5,
632525251,2,18,39,4,
632525252,3,23,47,2,
632525253,0,24,29,6,
632525254,0,11,31,10,
632525255,0,9,32,8,
632525256,0,20,38,7,
632525257,0,6,45,6,
632525258,0,14,30,7,
632525259,0,7,41,6,
632525260,0,11,47,6,
632525261,0,13,44,3,
632525262,1,11,42,12,
632525263,3,16,40,8,
632525264,0,9,36,16,
632525265,3,12,34,6,
632525266,4,15,22,6,
632525267,2,13,38,4,
632525268,1,17,35,4,
632525269,0,18,30,8,
632525270,1,13,23,5,
632525271,5,17,30,2,
632525272,7,19,34,4,
632525273,0,15,45,3,
632525274,1,14,32,2,
